Date,Dato_Presion,Dato_Temp
2025-08-31 13:35:00-04:00,679.2,17.8
2025-08-31 13:40:00-04:00,679.1,17.2
2025-08-31 13:45:00-04:00,678.8,18.2
2025-08-31 13:50:00-04:00,678.9,17.9
2025-08-31 13:55:00-04:00,678.7,18.1
2025-08-31 14:00:00-04:00,678.7,17.7
2025-08-31 14:05:00-04:00,678.7,17.9
2025-08-31 14:10:00-04:00,678.5,18.1
2025-08-31 14:15:00-04:00,678.3,18.2
2025-08-31 14:20:00-04:00,678.3,18.4
2025-08-31 14:25:00-04:00,678.2,18.3
2025-08-31 14:30:00-04:00,678.2,19.0
2025-08-31 14:35:00-04:00,678.0,18.6
2025-08-31 14:40:00-04:00,677.8,18.6
2025-08-31 14:45:00-04:00,677.9,19.3
2025-08-31 14:50:00-04:00,677.7,18.5
2025-08-31 14:55:00-04:00,677.9,19.0
2025-08-31 15:00:00-04:00,677.8,18.8
2025-08-31 15:05:00-04:00,677.7,19.6
2025-08-31 15:10:00-04:00,677.8,19.9
2025-08-31 15:15:00-04:00,677.7,19.4
2025-08-31 15:20:00-04:00,677.9,18.9
2025-08-31 15:25:00-04:00,677.5,18.6
2025-08-31 15:30:00-04:00,677.6,18.8
2025-08-31 15:35:00-04:00,677.5,19.7
2025-08-31 15:40:00-04:00,677.5,19.1
2025-08-31 15:45:00-04:00,677.7,19.0
2025-08-31 15:50:00-04:00,677.6,19.3
2025-08-31 15:55:00-04:00,677.5,19.7
2025-08-31 16:00:00-04:00,677.5,19.7
2025-08-31 16:05:00-04:00,677.5,19.4
2025-08-31 16:10:00-04:00,677.6,18.7
2025-08-31 16:15:00-04:00,677.6,19.0
2025-08-31 16:20:00-04:00,677.6,18.8
2025-08-31 16:25:00-04:00,677.5,19.5
2025-08-31 16:30:00-04:00,677.6,18.7
2025-08-31 16:35:00-04:00,677.5,19.7
2025-08-31 16:40:00-04:00,677.6,19.1
2025-08-31 16:45:00-04:00,677.4,19.0
2025-08-31 16:50:00-04:00,677.4,19.1
2025-08-31 16:55:00-04:00,677.6,19.5
2025-08-31 17:00:00-04:00,677.4,18.8
2025-08-31 17:05:00-04:00,677.2,18.6
2025-08-31 17:10:00-04:00,677.4,18.7
2025-08-31 17:15:00-04:00,677.0,18.7
2025-08-31 17:20:00-04:00,677.2,18.8
2025-08-31 17:25:00-04:00,677.2,18.6
2025-08-31 17:30:00-04:00,677.3,18.3
2025-08-31 17:35:00-04:00,677.3,18.1
2025-08-31 17:40:00-04:00,677.0,18.5
2025-08-31 17:45:00-04:00,677.0,19.2
2025-08-31 17:50:00-04:00,677.0,18.8
2025-08-31 17:55:00-04:00,677.1,19.0
2025-08-31 18:00:00-04:00,676.8,18.6
2025-08-31 18:05:00-04:00,677.1,18.1
2025-08-31 18:10:00-04:00,677.2,17.6
2025-08-31 18:15:00-04:00,677.3,17.2
2025-08-31 18:20:00-04:00,677.2,17.0
2025-08-31 18:25:00-04:00,677.1,16.8
2025-08-31 18:30:00-04:00,677.4,16.0
2025-08-31 18:35:00-04:00,677.4,15.2
2025-08-31 18:40:00-04:00,677.5,14.9
2025-08-31 18:45:00-04:00,677.7,14.8
2025-08-31 18:50:00-04:00,677.7,14.4
2025-08-31 18:55:00-04:00,677.8,14.0
2025-08-31 19:00:00-04:00,678.0,13.8
2025-08-31 19:05:00-04:00,678.0,13.6
2025-08-31 19:10:00-04:00,678.2,13.4
