Hora,Presion,Temperatura,Media_Cuentas,Desviacion_Cuentas,Mediciones
2025-08-29 12:40:00,678.5,16.4,238.27,17.66,30
2025-08-29 12:45:00,678.2,16.3,243.80,13.28,30
2025-08-29 12:50:00,678.1,16.4,247.23,13.90,30
2025-08-29 12:55:00,678.0,17.2,247.43,10.92,30
2025-08-29 13:00:00,677.9,16.5,249.37,15.90,30
2025-08-29 13:05:00,677.8,15.8,253.27,14.59,30
2025-08-29 13:10:00,678.0,15.6,253.37,15.62,30
2025-08-29 13:15:00,677.7,15.6,257.53,14.85,30
2025-08-29 13:20:00,677.6,16.7,250.70,12.39,30
2025-08-29 13:25:00,677.8,16.9,258.87,12.82,30
2025-08-29 13:30:00,677.6,16.2,254.70,13.77,30
2025-08-29 13:35:00,677.6,16.0,250.13,14.28,30
2025-08-29 13:40:00,677.4,16.0,254.40,21.28,30
2025-08-29 13:45:00,677.4,16.4,253.37,12.12,30
2025-08-29 13:50:00,677.3,16.9,258.40,13.76,30
2025-08-29 13:55:00,677.3,16.8,265.57,14.12,30
2025-08-29 14:00:00,677.3,17.9,256.90,13.09,30
2025-08-29 14:05:00,676.9,18.1,260.70,16.78,30
2025-08-29 14:10:00,677.0,17.7,263.57,19.22,30
2025-08-29 14:15:00,676.9,17.3,264.80,18.86,30
2025-08-29 14:20:00,676.7,17.4,260.40,12.71,30
2025-08-29 14:25:00,676.8,17.3,257.93,17.13,30
2025-08-29 14:30:00,676.8,17.9,257.67,20.10,30
2025-08-29 14:35:00,676.7,18.2,265.60,16.21,30
2025-08-29 14:40:00,676.5,17.6,261.03,13.06,30
2025-08-29 14:45:00,676.7,17.4,264.03,16.25,30
2025-08-29 14:50:00,676.3,17.6,259.40,12.82,30
2025-08-29 14:55:00,676.5,17.4,259.90,13.16,30
2025-08-29 15:00:00,676.4,17.0,263.60,14.55,30
2025-08-29 15:05:00,676.3,17.5,259.10,16.25,30
2025-08-29 15:10:00,676.2,18.0,254.60,12.59,30
2025-08-29 15:15:00,676.3,17.5,257.17,16.48,30
2025-08-29 15:20:00,676.1,18.8,261.93,17.25,30
2025-08-29 15:25:00,676.2,18.9,268.03,21.15,30
2025-08-29 15:30:00,676.0,18.1,264.90,18.12,30
2025-08-29 15:35:00,676.0,18.1,264.37,19.37,30
2025-08-29 15:40:00,676.0,18.3,259.73,14.50,30
2025-08-29 15:45:00,675.9,18.3,255.10,16.25,30
2025-08-29 15:50:00,675.7,18.5,258.03,10.78,30
2025-08-29 15:55:00,675.9,18.0,249.53,15.98,30
2025-08-29 16:00:00,675.8,18.7,248.93,15.05,30
2025-08-29 16:05:00,675.8,18.1,252.50,15.41,30
2025-08-29 16:10:00,675.8,17.8,246.87,15.32,30
2025-08-29 16:15:00,675.7,18.9,249.77,13.48,30
2025-08-29 16:20:00,675.7,18.9,243.40,16.49,30
2025-08-29 16:25:00,675.5,19.0,242.23,13.94,30
2025-08-29 16:30:00,675.7,18.5,237.63,16.06,30
2025-08-29 16:35:00,675.7,18.9,238.00,16.75,30
2025-08-29 16:40:00,675.8,18.0,236.20,17.65,30
2025-08-29 16:45:00,675.5,17.0,240.87,17.25,30
2025-08-29 16:50:00,675.6,16.9,242.00,16.89,30
2025-08-29 16:55:00,675.6,16.6,246.20,16.28,30
2025-08-29 17:00:00,675.6,16.3,243.62,19.51,29
2025-08-29 17:05:00,675.5,16.4,238.43,16.11,30
2025-08-29 17:10:00,675.6,16.4,237.13,13.64,30
