hora,cuentas,desviacionstncuentas,presion,temperatura
2025-09-05 10:05:00,133.467,12.779,682.3,11.7
2025-09-05 10:10:00,135.533,11.649,682.3,12.1
2025-09-05 10:15:00,134.5,11.316,682.1,12.1
2025-09-05 10:20:00,134.1,12.408,682.2,11.5
2025-09-05 10:25:00,131.6,8.958,682.3,11.5
2025-09-05 10:30:00,131.033,14.224,682.2,11.5
2025-09-05 10:35:00,124.9,8.965,682.2,11.2
2025-09-05 10:40:00,127.9,11.854,682.2,11.5
2025-09-05 10:45:00,124.3,11.662,682.0,12.0
2025-09-05 10:50:00,122.067,8.212,682.0,11.6
2025-09-05 10:55:00,120.433,9.209,681.9,12.0
2025-09-05 11:00:00,127.5,10.846,681.9,12.1
2025-09-05 11:05:00,138.6,11.539,681.8,12.3
2025-09-05 11:10:00,137.733,8.65,681.7,12.6
2025-09-05 11:15:00,135.067,10.336,681.8,12.5
2025-09-05 11:20:00,133.567,13.286,681.7,12.8
2025-09-05 11:25:00,134.3,11.946,681.6,12.3
2025-09-05 11:30:00,136.3,10.502,681.6,12.7
2025-09-05 11:35:00,137.2,10.24,681.6,12.5
2025-09-05 11:40:00,139.467,11.569,681.4,12.9
2025-09-05 11:45:00,138.3,11.653,681.6,13.1
2025-09-05 11:50:00,139.034,12.752,681.3,13.0
2025-09-05 11:55:00,142.733,8.8,681.3,12.8
2025-09-05 12:00:00,137.967,10.874,681.4,12.8
