Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	4096
Coarse Gain:	2
Fine Gain:	0
Upper Discriminator:	4191
Lower Discriminator:	119
Calibration Coefficients:	77.83603669724761	1.692220183486239
Calibration Channels:	345	236
Calibration Energies:	661.652	477.2
Elapsed Real Time:	304.47
Elapsed Live Time:	300.0
Start Time:	enero 01, 2002, 12:21:20
End Time:	enero 01, 2002, 12:26:25
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

1	315	371	30659	587	4	340

Channel Data:
Channel	Energy	Counts
733	733.0	327
734	734.0	336
735	735.0	350
736	736.0	352
737	737.0	310
738	738.0	329
739	739.0	310
740	740.0	315
741	741.0	303
742	742.0	284
743	743.0	265
744	744.0	263
745	745.0	275
746	746.0	256
747	747.0	265
748	748.0	251
749	749.0	245
750	750.0	238
751	751.0	192
752	752.0	231
753	753.0	201
754	754.0	204
755	755.0	201
756	756.0	176
757	757.0	186
758	758.0	196
759	759.0	199
760	760.0	159
761	761.0	173
762	762.0	174
763	763.0	158
764	764.0	154
765	765.0	180
766	766.0	157
767	767.0	151
768	768.0	132
769	769.0	170
770	770.0	150
771	771.0	121
772	772.0	152
773	773.0	123
774	774.0	125
775	775.0	112
776	776.0	104
777	777.0	127
778	778.0	127
779	779.0	131
780	780.0	112
781	781.0	130
782	782.0	115
783	783.0	131
784	784.0	115
785	785.0	122
786	786.0	117
787	787.0	133
788	788.0	108
789	789.0	159
790	790.0	147
791	791.0	126
792	792.0	117
793	793.0	150
794	794.0	132
795	795.0	133
796	796.0	119
797	797.0	137
798	798.0	112
799	799.0	148
800	800.0	129
801	801.0	110
802	802.0	131
803	803.0	124
804	804.0	133
805	805.0	142
806	806.0	152
807	807.0	113
808	808.0	126
809	809.0	128
810	810.0	125
811	811.0	146
812	812.0	138
813	813.0	132
814	814.0	115
815	815.0	133
816	816.0	133
817	817.0	155
818	818.0	146
819	819.0	163
820	820.0	139
821	821.0	127
822	822.0	145
823	823.0	138
824	824.0	158
825	825.0	140
826	826.0	163
827	827.0	138
828	828.0	139
829	829.0	137
830	830.0	128
831	831.0	137
832	832.0	129
833	833.0	135
834	834.0	142
835	835.0	154
836	836.0	157
837	837.0	117
838	838.0	146
839	839.0	126
840	840.0	134
841	841.0	151
842	842.0	169
843	843.0	134
844	844.0	133
845	845.0	132
846	846.0	155
847	847.0	159
848	848.0	153
849	849.0	165
850	850.0	144
851	851.0	161
852	852.0	140
853	853.0	143
854	854.0	143
855	855.0	135
856	856.0	123
857	857.0	120
858	858.0	138
859	859.0	127
860	860.0	136
861	861.0	122
862	862.0	105
863	863.0	126
864	864.0	114
865	865.0	119
866	866.0	141
867	867.0	122
868	868.0	128
869	869.0	118
870	870.0	123
871	871.0	144
872	872.0	113
873	873.0	108
874	874.0	115
875	875.0	117
876	876.0	119
877	877.0	115
878	878.0	122
879	879.0	80
880	880.0	115
881	881.0	91
882	882.0	102
883	883.0	119
884	884.0	116
885	885.0	95
886	886.0	87
887	887.0	93
888	888.0	95
889	889.0	102
890	890.0	95
891	891.0	78
892	892.0	95
893	893.0	91
894	894.0	102
895	895.0	75
896	896.0	82
897	897.0	96
898	898.0	89
899	899.0	92
900	900.0	95
901	901.0	84
902	902.0	91
903	903.0	81
904	904.0	80
905	905.0	86
906	906.0	65
907	907.0	81
908	908.0	71
909	909.0	88
910	910.0	83
911	911.0	88
912	912.0	79
913	913.0	64
914	914.0	83
915	915.0	83
916	916.0	73
917	917.0	82
918	918.0	84
919	919.0	90
920	920.0	70
921	921.0	72
922	922.0	84
923	923.0	72
924	924.0	85
925	925.0	89
926	926.0	65
927	927.0	84
928	928.0	72
929	929.0	93
930	930.0	77
931	931.0	79
932	932.0	72
933	933.0	69
934	934.0	79
935	935.0	71
936	936.0	77
937	937.0	74
938	938.0	88
939	939.0	78
940	940.0	68
941	941.0	61
942	942.0	70
943	943.0	70
944	944.0	93
945	945.0	69
946	946.0	73
947	947.0	79
948	948.0	57
949	949.0	71
950	950.0	77
951	951.0	62
952	952.0	63
953	953.0	56
954	954.0	62
955	955.0	59
956	956.0	81
957	957.0	76
958	958.0	77
959	959.0	76
960	960.0	74
961	961.0	63
962	962.0	92
963	963.0	67
964	964.0	59
965	965.0	74
966	966.0	72
967	967.0	73
968	968.0	68
969	969.0	75
970	970.0	61
971	971.0	78
972	972.0	66
973	973.0	60
974	974.0	67
975	975.0	78
976	976.0	90
977	977.0	70
978	978.0	71
979	979.0	75
980	980.0	71
981	981.0	84
982	982.0	76
983	983.0	90
984	984.0	65
985	985.0	64
986	986.0	67
987	987.0	72
988	988.0	80
989	989.0	68
990	990.0	79
991	991.0	67
992	992.0	83
993	993.0	69
994	994.0	49
995	995.0	84
996	996.0	68
997	997.0	57
998	998.0	81
999	999.0	61
1000	1000.0	66
1001	1001.0	75
1002	1002.0	69
1003	1003.0	68
1004	1004.0	72
1005	1005.0	58
1006	1006.0	80
1007	1007.0	71
1008	1008.0	49
1009	1009.0	90
1010	1010.0	78
1011	1011.0	64
1012	1012.0	77
1013	1013.0	63
1014	1014.0	92
1015	1015.0	64
1016	1016.0	70
1017	1017.0	83
1018	1018.0	74
1019	1019.0	64
1020	1020.0	78
1021	1021.0	71
1022	1022.0	59
1023	1023.0	71
1024	1024.0	71
1025	1025.0	68
1026	1026.0	64
1027	1027.0	67
1028	1028.0	71
1029	1029.0	79
1030	1030.0	54
1031	1031.0	71
1032	1032.0	80
1033	1033.0	67
1034	1034.0	63
1035	1035.0	83
1036	1036.0	64
1037	1037.0	80
1038	1038.0	69
1039	1039.0	58
1040	1040.0	77
1041	1041.0	58
1042	1042.0	63
1043	1043.0	63
1044	1044.0	63
1045	1045.0	63
1046	1046.0	72
1047	1047.0	74
1048	1048.0	76
1049	1049.0	75
1050	1050.0	59
1051	1051.0	56
1052	1052.0	61
1053	1053.0	65
1054	1054.0	82
1055	1055.0	58
1056	1056.0	70
1057	1057.0	69
1058	1058.0	67
1059	1059.0	72
1060	1060.0	68
1061	1061.0	67
1062	1062.0	67
1063	1063.0	69
1064	1064.0	69
1065	1065.0	55
1066	1066.0	68
1067	1067.0	49
1068	1068.0	69
1069	1069.0	68
1070	1070.0	68
1071	1071.0	60
1072	1072.0	66
1073	1073.0	83
1074	1074.0	70
1075	1075.0	59
1076	1076.0	66
1077	1077.0	62
1078	1078.0	65
1079	1079.0	75
1080	1080.0	64
1081	1081.0	65
1082	1082.0	73
1083	1083.0	75
1084	1084.0	77
1085	1085.0	73
1086	1086.0	72
1087	1087.0	64
1088	1088.0	66
1089	1089.0	69
1090	1090.0	72
1091	1091.0	67
1092	1092.0	66
1093	1093.0	55
1094	1094.0	55
1095	1095.0	65
1096	1096.0	70
1097	1097.0	81
1098	1098.0	61
1099	1099.0	66
1100	1100.0	63
1101	1101.0	67
1102	1102.0	69
1103	1103.0	71
1104	1104.0	78
1105	1105.0	57
1106	1106.0	74
1107	1107.0	53
1108	1108.0	59
1109	1109.0	62
1110	1110.0	64
1111	1111.0	68
1112	1112.0	64
1113	1113.0	62
1114	1114.0	54
1115	1115.0	59
1116	1116.0	71
1117	1117.0	71
1118	1118.0	52
1119	1119.0	58
1120	1120.0	60
1121	1121.0	51
1122	1122.0	70
1123	1123.0	69
1124	1124.0	70
1125	1125.0	62
1126	1126.0	70
1127	1127.0	64
1128	1128.0	59
1129	1129.0	66
1130	1130.0	66
1131	1131.0	53
1132	1132.0	59
1133	1133.0	63
1134	1134.0	60
1135	1135.0	46
1136	1136.0	49
1137	1137.0	48
1138	1138.0	59
1139	1139.0	70
1140	1140.0	66
1141	1141.0	72
1142	1142.0	62
1143	1143.0	65
1144	1144.0	56
1145	1145.0	66
1146	1146.0	59
1147	1147.0	54
1148	1148.0	46
1149	1149.0	48
1150	1150.0	66
1151	1151.0	51
1152	1152.0	60
1153	1153.0	58
1154	1154.0	54
1155	1155.0	40
1156	1156.0	54
1157	1157.0	58
1158	1158.0	52
1159	1159.0	67
1160	1160.0	62
1161	1161.0	60
1162	1162.0	57
1163	1163.0	61
1164	1164.0	56
1165	1165.0	53
1166	1166.0	56
1167	1167.0	57
1168	1168.0	51
1169	1169.0	59
1170	1170.0	48
1171	1171.0	45
1172	1172.0	45
1173	1173.0	55
1174	1174.0	60
1175	1175.0	51
1176	1176.0	60
1177	1177.0	63
1178	1178.0	49
1179	1179.0	54
1180	1180.0	61
1181	1181.0	61
1182	1182.0	42
1183	1183.0	57
1184	1184.0	57
1185	1185.0	49
1186	1186.0	70
1187	1187.0	42
1188	1188.0	51
1189	1189.0	46
1190	1190.0	58
1191	1191.0	61
1192	1192.0	50
1193	1193.0	55
1194	1194.0	49
1195	1195.0	61
1196	1196.0	51
1197	1197.0	64
1198	1198.0	68
1199	1199.0	47
1200	1200.0	63
1201	1201.0	61
1202	1202.0	57
1203	1203.0	66
1204	1204.0	72
1205	1205.0	45
1206	1206.0	63
1207	1207.0	48
1208	1208.0	58
1209	1209.0	56
1210	1210.0	47
1211	1211.0	51
1212	1212.0	57
1213	1213.0	59
1214	1214.0	44
1215	1215.0	71
1216	1216.0	60
1217	1217.0	65
1218	1218.0	58
1219	1219.0	58
1220	1220.0	72
1221	1221.0	50
1222	1222.0	65
1223	1223.0	71
1224	1224.0	70
1225	1225.0	49
1226	1226.0	66
1227	1227.0	52
1228	1228.0	68
1229	1229.0	52
1230	1230.0	66
1231	1231.0	55
1232	1232.0	59
1233	1233.0	61
1234	1234.0	47
1235	1235.0	59
1236	1236.0	73
1237	1237.0	60
1238	1238.0	65
1239	1239.0	64
1240	1240.0	58
1241	1241.0	71
1242	1242.0	61
1243	1243.0	61
1244	1244.0	71
1245	1245.0	73
1246	1246.0	79
1247	1247.0	73
1248	1248.0	65
1249	1249.0	66
1250	1250.0	63
1251	1251.0	67
1252	1252.0	51
1253	1253.0	79
1254	1254.0	71
1255	1255.0	71
1256	1256.0	73
1257	1257.0	72
1258	1258.0	73
1259	1259.0	51
1260	1260.0	61
1261	1261.0	72
1262	1262.0	66
1263	1263.0	81
1264	1264.0	56
1265	1265.0	63
1266	1266.0	59
1267	1267.0	70
1268	1268.0	74
1269	1269.0	77
1270	1270.0	67
1271	1271.0	73
1272	1272.0	59
1273	1273.0	63
1274	1274.0	52
1275	1275.0	85
1276	1276.0	49
1277	1277.0	57
1278	1278.0	72
1279	1279.0	69
1280	1280.0	81
1281	1281.0	52
1282	1282.0	79
1283	1283.0	74
1284	1284.0	62
1285	1285.0	57
1286	1286.0	73
1287	1287.0	70
1288	1288.0	58
1289	1289.0	82
1290	1290.0	75
1291	1291.0	58
1292	1292.0	58
1293	1293.0	73
1294	1294.0	67
1295	1295.0	72
1296	1296.0	64
1297	1297.0	73
1298	1298.0	62
1299	1299.0	78
1300	1300.0	64
1301	1301.0	72
1302	1302.0	74
1303	1303.0	49
1304	1304.0	71
1305	1305.0	64
1306	1306.0	73
1307	1307.0	57
1308	1308.0	69
1309	1309.0	82
1310	1310.0	66
1311	1311.0	70
1312	1312.0	72
1313	1313.0	82
1314	1314.0	70
1315	1315.0	78
1316	1316.0	51
1317	1317.0	67
1318	1318.0	63
1319	1319.0	65
1320	1320.0	71
1321	1321.0	59
1322	1322.0	65
1323	1323.0	60
1324	1324.0	73
1325	1325.0	70
1326	1326.0	70
1327	1327.0	56
1328	1328.0	72
1329	1329.0	54
1330	1330.0	59
1331	1331.0	49
1332	1332.0	76
1333	1333.0	59
1334	1334.0	67
1335	1335.0	63
1336	1336.0	56
1337	1337.0	60
1338	1338.0	54
1339	1339.0	57
1340	1340.0	60
1341	1341.0	42
1342	1342.0	65
1343	1343.0	69
1344	1344.0	71
1345	1345.0	61
1346	1346.0	46
1347	1347.0	58
1348	1348.0	54
1349	1349.0	65
1350	1350.0	65
1351	1351.0	58
1352	1352.0	62
1353	1353.0	46
1354	1354.0	63
1355	1355.0	66
1356	1356.0	65
1357	1357.0	64
1358	1358.0	62
1359	1359.0	64
1360	1360.0	51
1361	1361.0	60
1362	1362.0	66
1363	1363.0	40
1364	1364.0	77
1365	1365.0	47
1366	1366.0	66
1367	1367.0	43
1368	1368.0	49
1369	1369.0	59
1370	1370.0	56
1371	1371.0	54
1372	1372.0	57
1373	1373.0	56
1374	1374.0	43
1375	1375.0	65
1376	1376.0	48
1377	1377.0	64
1378	1378.0	61
1379	1379.0	81
1380	1380.0	56
1381	1381.0	56
1382	1382.0	46
1383	1383.0	54
1384	1384.0	60
1385	1385.0	56
1386	1386.0	44
1387	1387.0	43
1388	1388.0	54
1389	1389.0	64
1390	1390.0	61
1391	1391.0	53
1392	1392.0	59
1393	1393.0	61
1394	1394.0	53
1395	1395.0	57
1396	1396.0	48
1397	1397.0	64
1398	1398.0	61
1399	1399.0	50
1400	1400.0	48
1401	1401.0	49
1402	1402.0	45
1403	1403.0	48
1404	1404.0	53
1405	1405.0	70
1406	1406.0	45
1407	1407.0	45
1408	1408.0	58
1409	1409.0	50
1410	1410.0	37
1411	1411.0	44
1412	1412.0	44
1413	1413.0	42
1414	1414.0	30
1415	1415.0	38
1416	1416.0	45
1417	1417.0	59
1418	1418.0	39
1419	1419.0	51
1420	1420.0	53
1421	1421.0	40
1422	1422.0	41
1423	1423.0	42
1424	1424.0	50
1425	1425.0	45
1426	1426.0	41
1427	1427.0	41
1428	1428.0	48
1429	1429.0	47
1430	1430.0	42
1431	1431.0	39
1432	1432.0	38
1433	1433.0	45
1434	1434.0	43
1435	1435.0	44
1436	1436.0	45
1437	1437.0	37
1438	1438.0	44
1439	1439.0	46
1440	1440.0	37
1441	1441.0	47
1442	1442.0	41
1443	1443.0	38
1444	1444.0	45
1445	1445.0	46
1446	1446.0	42
1447	1447.0	41
1448	1448.0	35
1449	1449.0	40
1450	1450.0	27
1451	1451.0	30
1452	1452.0	46
1453	1453.0	38
1454	1454.0	38
1455	1455.0	39
1456	1456.0	34
1457	1457.0	42
1458	1458.0	41
1459	1459.0	26
1460	1460.0	35
1461	1461.0	35
1462	1462.0	33
1463	1463.0	40
1464	1464.0	29
1465	1465.0	40
